todo_id,subject,status,priority,tags,person,created_date,deadline,date_actioned,days_to_complete
214,Review strata minutes,Backlog,Low,Work,Person A,2026-05-07,2026-05-14,,
215,Organise photo backup,ToDo,Low,Home|Subscription,Person A,2026-04-12,,,
216,Organise photo backup,Backlog,Low,Property,Person A,2026-02-15,,,
217,Book team lunch,InProgress,Low,Routine,Person A,2026-04-09,2026-05-04,,
218,Follow up with real estate agent,Active,Medium,Work,Person A,2026-04-14,,,
219,Fix garden fence,Active,High,School,Person A,2026-03-08,,,
220,Fix door handle,Done,High,School|Work,Person A,2025-12-03,2025-12-09,2025-12-06,3.0
221,Fix WiFi dead zone,Cancelled,Low,Property,Person B,2025-11-05,2025-11-29,,
222,Plan anniversary celebration,ToDo,Medium,School|Property,Person C,2026-04-17,2026-04-21,,
223,Renew gym membership,Done,High,Cheer,Person A,2026-02-18,,2026-03-01,11.0
224,Renew gym membership,Active,Low,Work,Family,2026-04-17,2026-05-07,,
225,Set up bill reminders,Done,Medium,Work,Person A,2025-11-06,2025-11-14,2025-11-15,9.0
226,Prepare presentation slides,ToDo,Medium,Work,Person A|Person C,2026-04-13,2026-04-29,,
227,Organise kids sports gear,Done,Low,Property,Person A,2026-03-11,2026-04-08,2026-03-13,2.0
228,Update resume,ToDo,Medium,Work,Person C|Person A,2026-04-25,,,
229,Research schools nearby,Done,High,Home|Routine,Person B|Person A,2026-01-02,,2026-01-04,2.0
230,Renew passport,Active,Medium,Routine,Person C,2026-03-13,,,
231,Update LinkedIn profile,InProgress,Medium,Subscription,Person A|Person B,2026-04-24,2026-04-25,,
232,Review rental yield,ToDo,Medium,School,Person B,2026-04-12,2026-04-17,,
233,Clean garage,Done,Low,Work,Person A,2026-02-16,,2026-02-23,7.0
234,Fix WiFi dead zone,InProgress,High,Routine,Person A,2026-04-05,2026-05-01,,
235,Fix door handle,ToDo,Medium,School,Person C,2026-04-02,,,
236,Book team lunch,Done,Low,Home,Person B|Person A,2026-03-25,2026-03-31,2026-03-27,2.0
237,Arrange carpet cleaning,Done,Low,Work,Person A,2025-12-05,,2025-12-06,1.0
238,Call mortgage broker,Cancelled,Medium,School|Subscription,Family,2026-03-30,,,
239,Update investment spreadsheet,Done,Medium,Work|School,Person A,2026-03-04,2026-03-05,2026-03-05,1.0
240,Cancel unused subscription,Done,Medium,Work|Routine,Person B|Family,2025-12-23,2026-01-15,2025-12-26,3.0
241,Research new phone plan,Done,Low,Cheer,Person C|Person A,2025-11-16,2025-12-06,2025-11-20,4.0
242,Set up bill reminders,ToDo,Low,Routine,Person B,2026-05-08,2026-05-30,,
243,Clean out wardrobe,Done,High,Work,Family,2026-01-15,2026-02-09,2026-01-16,1.0
244,Book holiday accommodation,InProgress,Medium,Work,Family,2026-04-06,2026-04-30,,
245,Update household inventory,OnHold,Low,Home,Person A|Person C,2026-04-11,,,
246,Renew passport,Done,Medium,Cheer,Person A,2026-03-04,2026-03-21,2026-03-07,3.0
247,Update household inventory,ToDo,Low,Home|Property,Person A,2025-12-16,2026-01-07,,
248,Book car service,Done,Low,Subscription,Person C,2026-03-06,2026-03-13,2026-03-10,4.0
249,Set up automated backups,InProgress,High,Routine,Person A,2026-03-21,,,
250,Order birthday gift,Cancelled,Low,Home,Family|Person C,2026-01-11,2026-02-07,,
251,Fix garden fence,ToDo,Medium,Cheer,Person A,2026-04-23,2026-04-27,,
252,Update emergency contacts,Backlog,Medium,Routine,Person A,2026-01-21,,,
253,Schedule dentist appointment,Done,Medium,Cheer,Person B,2025-11-02,,2025-11-11,9.0
254,Plan family dinner,Done,Low,Subscription,Person C|Person B,2026-01-23,2026-02-03,2026-01-28,5.0
255,Organise kids sports gear,Backlog,Medium,Subscription|Work,Person C,2026-01-04,2026-01-25,,
256,Order birthday gift,Cancelled,Medium,Property,Person B|Person A,2026-05-01,2026-05-04,,
257,Plan family dinner,InProgress,Low,Routine,Person A,2026-04-05,2026-05-03,,
258,Order birthday gift,OnHold,Medium,Cheer,Person C,2026-04-10,,,
259,Review quarterly budget,ToDo,Medium,Home,Person A,2025-11-19,2025-11-25,,
260,Fix garden fence,Done,Medium,Routine,Person B,2026-01-03,2026-01-08,2026-01-04,1.0
261,Update investment spreadsheet,ToDo,High,Work,Person C,2026-04-03,2026-04-13,,
262,Research solar panels,OnHold,Low,Routine,Person C,2026-03-02,,,
263,Research investment options,Done,High,Routine,Family,2026-01-16,2026-01-29,2026-01-20,4.0
264,Order birthday gift,ToDo,Medium,Home|Subscription,Person A,2026-04-11,2026-04-23,,
265,Fix garden fence,Active,Medium,Cheer,Person A,2025-11-21,,,
266,Update property insurance,ToDo,Low,Home|Subscription,Person B,2026-03-19,2026-03-24,,
267,Update emergency contacts,InProgress,Low,Cheer,Person A,2026-03-25,2026-04-16,,
268,Fix garden fence,InProgress,Medium,Cheer,Person A,2026-03-29,,,
269,Compare health insurance,Done,Low,Subscription,Person A,2026-02-23,2026-02-24,2026-02-24,1.0
270,Set up automated backups,OnHold,Medium,Subscription,Person A|Person C,2026-04-04,,,
271,Fix leaking tap,Done,Medium,Work|School,Person A,2025-11-04,2025-11-07,2025-11-25,21.0
272,Set up bill reminders,ToDo,Low,School,Family,2026-05-06,2026-05-09,,
273,Follow up with real estate agent,Done,Medium,Subscription,Person B,2025-12-24,2026-01-08,2026-01-04,11.0
274,Clean garage,ToDo,Low,Cheer|School,Person B|Person A,2026-03-23,2026-04-06,,
275,Fix WiFi dead zone,Done,High,Property,Person B,2026-03-08,,2026-03-09,1.0
276,Renew gym membership,Active,Medium,Work,Person C,2025-12-15,,,
277,Book team lunch,ToDo,Low,Work,Person A|Person B,2026-05-07,2026-05-29,,
278,Review strata minutes,Done,Medium,Work,Person A,2025-12-23,,2025-12-30,7.0
279,Review strata minutes,Done,Medium,Work,Person A,2025-12-02,,2025-12-04,2.0
280,Prepare presentation slides,Done,Medium,Work,Person A,2025-12-23,2026-01-06,2025-12-25,2.0
281,Set up automated backups,Done,High,Work,Person B,2025-12-19,2026-01-06,2025-12-28,9.0
282,Prepare presentation slides,ToDo,Medium,Home|Work,Person A,2025-11-08,,,
283,Submit council application,InProgress,Low,Home|Routine,Person A,2026-04-21,2026-05-20,,
284,Call mortgage broker,Active,Low,Work,Person C,2026-04-10,2026-05-04,,
285,Submit tax documents,OnHold,Medium,Home|Property,Family,2026-02-16,2026-03-10,,
286,Submit tax documents,Done,Low,Work,Person C,2025-12-18,2025-12-25,2025-12-21,3.0
287,Set up bill reminders,Backlog,Low,Subscription,Person B,2026-03-21,,,
288,Review rental yield,Done,Medium,Cheer,Person A,2026-01-26,,2026-02-09,14.0
289,Organise filing cabinet,InProgress,Medium,Work,Person B,2026-03-29,,,
290,Review rental yield,Done,Medium,Work|Home,Person A,2025-12-24,2026-01-03,2025-12-31,7.0
291,Submit council application,ToDo,Medium,Property|Cheer,Person C,2026-02-24,,,
292,Schedule pest inspection,InProgress,Low,Work,Person A,2026-02-12,2026-02-19,,
293,Book team lunch,Done,Medium,Home,Person A,2026-04-02,,2026-04-05,3.0
294,Research investment options,Cancelled,Medium,Subscription,Person A,2026-03-15,2026-04-11,,
295,Review tenant application,Cancelled,Low,Cheer|Property,Person B,2026-03-12,2026-03-20,,
296,Clean out wardrobe,ToDo,Medium,Cheer,Person C,2026-03-17,2026-04-12,,
297,Clean out wardrobe,Cancelled,Low,Home,Person A|Family,2026-02-14,2026-02-25,,
298,Submit tax documents,Done,Low,Property,Person B|Person A,2026-01-04,2026-01-09,2026-01-05,1.0
299,Research investment options,Done,Medium,Home|Routine,Person B|Family,2025-12-24,,2025-12-28,4.0
300,Research new phone plan,Done,Medium,Work,Person A,2026-01-17,2026-01-18,2026-01-18,1.0
